2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> THETA:0.130, LRC:0.125, YFI:0.124, ALPHA:0.121, SUSHI:-0.077, EGLD:-0.125, IOST:-0.137, SNX:-0.160
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LRC:0.156, KSM:0.144, KAVA:0.118, IOTA:0.082, ICX:-0.110, RSR:-0.123, ZRX:-0.126, RUNE:-0.141
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOT:0.144, AVAX:0.136, UNI:0.122, ALPHA:0.098, XTZ:-0.043, ATOM:-0.147, ICX:-0.149, COMP:-0.160
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.142, CRV:0.137, DOT:0.112, ATOM:0.110, ZIL:-0.000, DASH:-0.000, ZEN:-0.000, XMR:-0.500
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LINK:0.225, SNX:0.220, SKL:0.039, TRB:0.017, SXP:-0.100, XMR:-0.109, ZEN:-0.142, KSM:-0.150
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOT:0.153, SNX:0.119, CRV:0.115, LINK:0.113, XMR:-0.000, EGLD:-0.000, THETA:-0.101, AVAX:-0.399
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AVAX:0.225, ADA:0.110, RSR:0.096, 1INCH:0.070, ZEN:-0.091, GRT:-0.103, SOL:-0.105, IOST:-0.200
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ENJ:0.246, GRT:0.115, SUSHI:0.069, FLM:0.069, ONT:-0.074, SNX:-0.082, AXS:-0.102, IOST:-0.241
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FLM:0.148, BEL:0.137, TRB:0.125, 1INCH:0.090, SUSHI:-0.000, AVAX:-0.055, ZEC:-0.168, DOT:-0.277
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.235, YFI:0.106, ZEN:0.094, BEL:0.065, UNI:-0.120, AAVE:-0.122, 1INCH:-0.128, AVAX:-0.130
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LTC:0.179, NEO:0.145, BCH:0.102, ICX:0.074, GRT:-0.112, KSM:-0.113, 1INCH:-0.119, CRV:-0.156
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.166, CRV:0.131, ATOM:0.103, 1INCH:0.100, TRB:-0.078, ONT:-0.087, AVAX:-0.093, KSM:-0.242
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ENJ:0.286, LRC:0.122, XTZ:0.059, ETC:0.032, ICX:-0.108, BAND:-0.113, SXP:-0.127, KSM:-0.152
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ENJ:0.324, GRT:0.064, BAT:0.059, ATOM:0.053, ZEC:-0.109, ZEN:-0.126, SKL:-0.130, TRB:-0.135
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> EGLD:0.226, VET:0.115, ENJ:0.107, ZEN:0.052, ATOM:-0.085, AVAX:-0.096, TRB:-0.150, GRT:-0.169
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RLC:0.154, GRT:0.126, ALPHA:0.115, ICX:0.105, DOT:-0.091, SOL:-0.094, AVAX:-0.138, ENJ:-0.177
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> CRV:0.274, AXS:0.089, BEL:0.069, KSM:0.067, ETH:-0.065, NEO:-0.083, SNX:-0.166, SKL:-0.186
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> EGLD:0.125, FIL:0.125, LTC:0.125, DOT:0.125, SOL:-0.098, AXS:-0.099, IOST:-0.124, SKL:-0.180
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ENJ:0.190, ALPHA:0.126, THETA:0.093, FLM:0.091, COMP:-0.000, EGLD:-0.000, BTC:-0.000, FIL:-0.500
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BEL:0.182, XTZ:0.132, BAT:0.105, XRP:0.081, TRB:-0.109, BAND:-0.119, KNC:-0.129, AXS:-0.143
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> QTUM:0.438, LINK:0.034, CRV:0.019, RUNE:0.009, SNX:-0.116, VET:-0.122, SUSHI:-0.126, SKL:-0.136
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.159, ZRX:0.123, TRX:0.123, ALPHA:0.095, 1INCH:-0.108, IOST:-0.113, RSR:-0.134, ENJ:-0.146
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SKL:0.206, CRV:0.131, IOST:0.092, UNI:0.072, DOT:-0.109, SOL:-0.111, QTUM:-0.132, GRT:-0.147
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SUSHI:0.131, ETH:0.128, UNI:0.124, LRC:0.118, ICX:-0.052, KAVA:-0.057, CRV:-0.084, AAVE:-0.308
2025-10-09 15:28:17 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> THETA:0.173, 1INCH:0.128, ICX:0.105, AXS:0.094, SNX:-0.033, KNC:-0.080, CRV:-0.160, ZEN:-0.227
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> UNI:0.150, ALPHA:0.128, AXS:0.122, RUNE:0.100, XRP:-0.070, IOST:-0.074, ZEC:-0.080, ZEN:-0.275
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> STORJ:0.260, ALPHA:0.155, AXS:0.062, ZEC:0.022, RUNE:-0.108, ENJ:-0.116, THETA:-0.123, CRV:-0.153
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.334, LRC:0.068, AXS:0.056, GRT:0.042, ZEN:-0.082, EGLD:-0.106, RLC:-0.121, AVAX:-0.191
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RUNE:0.145, AAVE:0.145, TRB:0.144, UNI:0.066, ATOM:-0.067, SKL:-0.099, AXS:-0.158, ALPHA:-0.176
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZRX:0.159, RUNE:0.131, TRB:0.111, EGLD:0.099, COMP:-0.086, ENJ:-0.108, ALPHA:-0.116, SXP:-0.190
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ATOM:0.173, GRT:0.125, AVAX:0.108, AAVE:0.094, TRB:-0.072, NEAR:-0.112, IOST:-0.118, BEL:-0.198
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.385, XLM:0.065, ZEN:0.026, LTC:0.024, SKL:-0.119, TRB:-0.123, ALPHA:-0.128, AXS:-0.129
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.408, FLM:0.040, LRC:0.026, DOT:0.026, AXS:-0.096, AVAX:-0.119, GRT:-0.133, RUNE:-0.152
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.137, ALPHA:0.136, ALGO:0.127, COMP:0.101, ZRX:-0.062, ENJ:-0.063, TRX:-0.076, DOGE:-0.299
2025-10-09 15:28:18 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> COMP:0.133, SXP:0.132, UNI:0.120, BEL:0.114, ALPHA:-0.050, XMR:-0.055, ZEN:-0.089, DOGE:-0.307
