2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.032, ETH:0.032, BCH:0.032, XRP:0.032, LTC:0.032, TRX:0.032, ETC:0.032, LINK:0.032, XLM:0.032, ADA:0.032, XTZ:0.032, ATOM:0.032, BNB:0.032, IOTA:0.032, VET:0.032, NEO:0.032, TRB:-0.032, SUSHI:-0.032, RUNE:-0.032, SOL:-0.032, UNI:-0.032, AVAX:-0.032, NEAR:-0.032, FIL:-0.032, AAVE:-0.032
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XRP:0.230, SUSHI:0.024, GRT:0.021, RUNE:0.016, AVAX:0.015, COMP:0.015, BNB:0.013, CRV:0.012, XLM:0.011, CHZ:0.009, ALGO:0.008, SOL:0.007, UNI:0.005, SXP:0.005, FIL:0.005, DOGE:0.004, NEAR:-0.000, SKL:-0.004, LTC:-0.006, DOT:-0.007, XTZ:-0.008, SAND:-0.014, THETA:-0.034, VET:-0.117, AXS:-0.209
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XRP:0.210, SUSHI:0.031, BNB:0.025, GRT:0.021, COMP:0.020, RUNE:0.018, SOL:0.010, XLM:0.010, UNI:0.010, CHZ:0.008, CRV:0.008, AVAX:0.007, ADA:0.006, ATOM:0.006, FIL:0.006, ALGO:0.006, DOT:-0.003, LINK:-0.003, SKL:-0.003, XTZ:-0.005, SAND:-0.011, LTC:-0.011, AXS:-0.016, THETA:-0.104, VET:-0.242
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XRP:0.186, BNB:0.045, SUSHI:0.040, ADA:0.024, SOL:0.017, RUNE:0.013, COMP:0.013, XLM:0.011, GRT:0.010, CHZ:0.010, UNI:0.009, FIL:0.006, CRV:0.006, ATOM:0.004, ALGO:0.003, AXS:0.003, TRX:-0.000, BTC:-0.000, LINK:-0.003, XTZ:-0.007, DOT:-0.021, SKL:-0.025, THETA:-0.095, SAND:-0.098, VET:-0.152
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XRP:0.115, ADA:0.064, BNB:0.051, SUSHI:0.042, SOL:0.034, RUNE:0.017, UNI:0.014, GRT:0.009, ATOM:0.009, CRV:0.008, COMP:0.008, CHZ:0.008, RSR:0.007, NEAR:0.006, LTC:0.005, XLM:0.004, AAVE:-0.000, QTUM:-0.000, TRB:-0.000, NEO:-0.000, XTZ:-0.008, DOT:-0.051, VET:-0.052, THETA:-0.105, SAND:-0.184
2025-11-03 16:02:10 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ADA:0.120, SUSHI:0.065, SOL:0.059, BNB:0.038, LTC:0.023, RSR:0.023, NEAR:0.018, ETH:0.012, GRT:0.010, NEO:-0.027, SXP:-0.027, BCH:-0.027, SKL:-0.027, BTC:-0.027, QTUM:-0.027, DOT:-0.027, AAVE:-0.027, IOTA:-0.027, LINK:-0.027, ZEN:-0.027, XTZ:-0.027, FIL:-0.027, TRX:-0.027, DOGE:-0.027, ETC:-0.027
