datetime,symbol,size,price,market_value,weight
2021-01-02T00:00:00,GRT,0,0.35131,0.0,0.0
2021-01-02T00:00:00,ICX,0,0.4409,0.0,0.0
2021-01-02T00:00:00,IOST,0,0.005682,0.0,0.0
2021-01-02T00:00:00,IOTA,0,0.2873,0.0,0.0
2021-01-02T00:00:00,KAVA,0,1.2745,0.0,0.0
2021-01-02T00:00:00,KNC,0,0.7866,0.0,0.0
2021-01-02T00:00:00,KSM,0,66.474,0.0,0.0
2021-01-02T00:00:00,LINK,0,11.611,0.0,0.0
2021-01-02T00:00:00,LRC,0,0.17189,0.0,0.0
2021-01-02T00:00:00,LTC,0,124.36,0.0,0.0
2021-01-02T00:00:00,NEAR,0,1.3287,0.0,0.0
2021-01-02T00:00:00,NEO,0,14.197,0.0,0.0
2021-01-02T00:00:00,ONT,0,0.4436,0.0,0.0
2021-01-02T00:00:00,QTUM,0,2.225,0.0,0.0
2021-01-02T00:00:00,RLC,0,0.7259,0.0,0.0
2021-01-02T00:00:00,RSR,0,0.024485,0.0,0.0
2021-01-02T00:00:00,RUNE,0,1.2474,0.0,0.0
2021-01-02T00:00:00,SKL,0,0.07882,0.0,0.0
2021-01-02T00:00:00,SNX,0,8.144,0.0,0.0
2021-01-02T00:00:00,SOL,0,1.7733,0.0,0.0
2021-01-02T00:00:00,STORJ,0,0.2898,0.0,0.0
2021-01-02T00:00:00,SUSHI,0,3.1901,0.0,0.0
2021-01-02T00:00:00,SXP,0,0.702,0.0,0.0
2021-01-02T00:00:00,THETA,0,2.0377,0.0,0.0
2021-01-02T00:00:00,TRB,0,17.104,0.0,0.0
2021-01-02T00:00:00,TRX,0,0.02658,0.0,0.0
2021-01-02T00:00:00,UNI,0,4.5862,0.0,0.0
2021-01-02T00:00:00,VET,0,0.018606,0.0,0.0
2021-01-02T00:00:00,XLM,0,0.12967,0.0,0.0
2021-01-02T00:00:00,XMR,0,131.05,0.0,0.0
2021-01-02T00:00:00,XRP,0,0.2326,0.0,0.0
2021-01-02T00:00:00,XTZ,0,1.962,0.0,0.0
2021-01-02T00:00:00,YFI,0,21599.6,0.0,0.0
2021-01-02T00:00:00,ZEC,0,56.45,0.0,0.0
2021-01-02T00:00:00,ZEN,0,11.568,0.0,0.0
2021-01-02T00:00:00,ZIL,0,0.07707,0.0,0.0
2021-01-02T00:00:00,ZRX,0,0.3664,0.0,0.0
2021-01-03T00:00:00,1INCH,0,1.0317,0.0,0.0
2021-01-03T00:00:00,AAVE,0,84.655,0.0,0.0
2021-01-03T00:00:00,ADA,0,0.17671,0.0,0.0
2021-01-03T00:00:00,ALGO,0,0.424,0.0,0.0
2021-01-03T00:00:00,ALPHA,0,0.23343,0.0,0.0
2021-01-03T00:00:00,ATOM,0,5.303,0.0,0.0
2021-01-03T00:00:00,AVAX,0,3.4573,0.0,0.0
2021-01-03T00:00:00,AXS,0,0.54154,0.0,0.0
2021-01-03T00:00:00,BAND,0,6.2467,0.0,0.0
2021-01-03T00:00:00,BAT,0,0.2047,0.0,0.0
2021-01-03T00:00:00,BCH,0,364.09,0.0,0.0
2021-01-03T00:00:00,BEL,0,0.84844,0.0,0.0
2021-01-03T00:00:00,BNB,0,38.077,0.0,0.0
2021-01-03T00:00:00,BTC,0,32478.69,0.0,0.0
2021-01-03T00:00:00,COMP,0,136.69,0.0,0.0
2021-01-03T00:00:00,CRV,0,0.615,0.0,0.0
2021-01-03T00:00:00,DASH,0,86.76,0.0,0.0
2021-01-03T00:00:00,DOGE,0,0.009535,0.0,0.0
2021-01-03T00:00:00,DOT,0,9.048,0.0,0.0
2021-01-03T00:00:00,EGLD,0,26.151,0.0,0.0
2021-01-03T00:00:00,ENJ,0,0.13176,0.0,0.0
2021-01-03T00:00:00,ETC,0,5.807,0.0,0.0
2021-01-03T00:00:00,ETH,0,776.42,0.0,0.0
2021-01-03T00:00:00,FIL,0,21.512,0.0,0.0
2021-01-03T00:00:00,FLM,0,0.124,0.0,0.0
2021-01-03T00:00:00,GRT,0,0.32908,0.0,0.0
2021-01-03T00:00:00,ICX,0,0.4341,0.0,0.0
2021-01-03T00:00:00,IOST,0,0.005631,0.0,0.0
2021-01-03T00:00:00,IOTA,0,0.2843,0.0,0.0
2021-01-03T00:00:00,KAVA,0,1.2949,0.0,0.0
2021-01-03T00:00:00,KNC,0,0.7854,0.0,0.0
2021-01-03T00:00:00,KSM,0,71.196,0.0,0.0
2021-01-03T00:00:00,LINK,0,12.206,0.0,0.0
2021-01-03T00:00:00,LRC,0,0.1763,0.0,0.0
2021-01-03T00:00:00,LTC,0,137.47,0.0,0.0
2021-01-03T00:00:00,NEAR,0,1.4477,0.0,0.0
2021-01-03T00:00:00,NEO,0,14.493,0.0,0.0
2021-01-03T00:00:00,ONT,0,0.4677,0.0,0.0
2021-01-03T00:00:00,QTUM,0,2.236,0.0,0.0
2021-01-03T00:00:00,RLC,0,0.7163,0.0,0.0
2021-01-03T00:00:00,RSR,0,0.028137,0.0,0.0
2021-01-03T00:00:00,RUNE,0,1.3022,0.0,0.0
2021-01-03T00:00:00,SKL,0,0.07704,0.0,0.0
2021-01-03T00:00:00,SNX,0,8.114,0.0,0.0
2021-01-03T00:00:00,SOL,0,1.8048,0.0,0.0
