2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.027, ETH:0.027, BCH:0.027, XRP:0.027, LTC:0.027, TRX:0.027, ETC:0.027, LINK:0.027, XLM:0.027, ADA:0.027, XTZ:0.027, ATOM:0.027, BNB:0.027, IOTA:0.027, VET:0.027, NEO:0.027, QTUM:0.027, THETA:0.027, DOT:-0.027, CRV:-0.027, TRB:-0.027, SUSHI:-0.027, RUNE:-0.027, SOL:-0.027, UNI:-0.027, AVAX:-0.027, NEAR:-0.027, FIL:-0.027, AAVE:-0.027, RSR:-0.027
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.027, ETH:0.027, BCH:0.027, XRP:0.027, LTC:0.027, TRX:0.027, ETC:0.027, LINK:0.027, XLM:0.027, ADA:0.027, XTZ:0.027, ATOM:0.027, BNB:0.027, IOTA:0.027, VET:0.027, NEO:0.027, QTUM:0.027, THETA:0.027, DOT:-0.027, CRV:-0.027, TRB:-0.027, SUSHI:-0.027, RUNE:-0.027, SOL:-0.027, UNI:-0.027, AVAX:-0.027, NEAR:-0.027, FIL:-0.027, AAVE:-0.027, RSR:-0.027
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.027, ETH:0.027, BCH:0.027, XRP:0.027, LTC:0.027, TRX:0.027, ETC:0.027, LINK:0.027, XLM:0.027, ADA:0.027, XTZ:0.027, ATOM:0.027, BNB:0.027, IOTA:0.027, VET:0.027, NEO:0.027, QTUM:0.027, THETA:0.027, DOT:-0.027, CRV:-0.027, TRB:-0.027, SUSHI:-0.027, RUNE:-0.027, SOL:-0.027, UNI:-0.027, AVAX:-0.027, NEAR:-0.027, FIL:-0.027, AAVE:-0.027, RSR:-0.027
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.027, ETH:0.027, BCH:0.027, XRP:0.027, LTC:0.027, TRX:0.027, ETC:0.027, LINK:0.027, XLM:0.027, ADA:0.027, XTZ:0.027, ATOM:0.027, BNB:0.027, IOTA:0.027, VET:0.027, NEO:0.027, QTUM:0.027, THETA:0.027, DOT:-0.027, CRV:-0.027, TRB:-0.027, SUSHI:-0.027, RUNE:-0.027, SOL:-0.027, UNI:-0.027, AVAX:-0.027, NEAR:-0.027, FIL:-0.027, AAVE:-0.027, RSR:-0.027
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BTC:0.027, ETH:0.027, BCH:0.027, XRP:0.027, LTC:0.027, TRX:0.027, ETC:0.027, LINK:0.027, XLM:0.027, ADA:0.027, XTZ:0.027, ATOM:0.027, BNB:0.027, IOTA:0.027, VET:0.027, NEO:0.027, QTUM:0.027, THETA:0.027, DOT:-0.027, CRV:-0.027, TRB:-0.027, SUSHI:-0.027, RUNE:-0.027, SOL:-0.027, UNI:-0.027, AVAX:-0.027, NEAR:-0.027, FIL:-0.027, AAVE:-0.027, RSR:-0.027
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> COMP:0.039, UNI:0.038, SUSHI:0.035, XRP:0.035, GRT:0.033, BNB:0.032, RUNE:0.032, SXP:0.022, CHZ:0.022, SOL:0.021, XLM:0.016, ALGO:0.015, CRV:0.015, DOGE:0.015, AAVE:0.014, AVAX:0.010, AXS:-0.010, RSR:-0.011, NEO:-0.012, IOTA:-0.012, BCH:-0.014, ETH:-0.015, LTC:-0.020, XTZ:-0.025, LINK:-0.025, NEAR:-0.029, DOT:-0.046, THETA:-0.058, VET:-0.060, SAND:-0.064
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.036, COMP:0.036, SUSHI:0.036, UNI:0.036, GRT:0.035, RUNE:0.031, SOL:0.022, XRP:0.022, CHZ:0.021, DOGE:0.018, CRV:0.017, SXP:0.016, XLM:0.015, ATOM:0.015, ADA:0.015, ALGO:0.013, AAVE:0.011, AVAX:0.010, NEO:-0.007, SKL:-0.009, BCH:-0.013, IOTA:-0.019, LTC:-0.022, LINK:-0.029, NEAR:-0.029, XTZ:-0.031, VET:-0.042, THETA:-0.049, DOT:-0.063, SAND:-0.082
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.034, COMP:0.034, SUSHI:0.034, UNI:0.033, SOL:0.031, GRT:0.030, RUNE:0.028, ADA:0.025, CHZ:0.021, XLM:0.020, DOGE:0.019, ATOM:0.017, CRV:0.016, XRP:0.015, SXP:0.013, ALGO:0.012, AVAX:0.009, AAVE:0.009, ETH:-0.000, FIL:-0.000, TRB:-0.000, ZEN:-0.000, RSR:-0.000, LINK:-0.020, IOTA:-0.023, THETA:-0.026, VET:-0.041, XTZ:-0.041, DOT:-0.113, SAND:-0.136
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.033, COMP:0.033, SUSHI:0.033, SOL:0.033, ADA:0.030, UNI:0.029, GRT:0.027, RUNE:0.025, XLM:0.021, CHZ:0.020, ETH:0.018, ATOM:0.018, DOGE:0.015, CRV:0.014, SXP:0.013, BTC:0.013, TRX:0.013, ALGO:0.012, AVAX:-0.000, AXS:-0.000, AAVE:-0.000, SKL:-0.000, NEAR:-0.000, TRB:-0.000, FIL:-0.000, ETC:-0.000, BCH:-0.000, VET:-0.032, DOT:-0.143, XTZ:-0.226
2025-11-03 19:37:21 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BNB:0.035, COMP:0.035, SUSHI:0.035, SOL:0.035, ADA:0.033, ETH:0.031, UNI:0.030, GRT:0.027, RUNE:0.024, XLM:0.023, CHZ:0.021, BTC:0.020, AVAX:-0.025, NEAR:-0.025, SKL:-0.025, SAND:-0.025, AXS:-0.025, ETC:-0.025, NEO:-0.025, THETA:-0.025, BCH:-0.025, TRB:-0.025, XRP:-0.025, LINK:-0.025, FIL:-0.025, IOTA:-0.025, VET:-0.025, DOT:-0.025, XTZ:-0.025, ZEN:-0.025
