datetime,return,equity
2021-01-01,0.03667072864572152,1036670.7286457216
2021-01-02,0.21196198183010662,1256405.5107947295
2021-01-03,0.06772991655111693,1341501.7511952198
2021-01-04,-0.05276332860011845,1270719.6534792723
2021-01-05,0.00862610457214985,1281681.0140920705
2021-01-06,0.1906486652831454,1526031.788747472
2021-01-07,0.00498563552580511,1533640.0270469591
2021-01-08,-0.07379350745032154,1420467.350284958
2021-01-09,0.019213198144153898,1447759.070943284
2021-01-10,0.027984504180977865,1488273.890717145
2021-01-11,-0.03285398946869511,1439378.15598499
2021-01-12,-0.016186720647627606,1416079.3438677636
2021-01-13,0.07344961000727057,1520089.8194142026
2021-01-14,0.04924787939633091,1594951.0195123036
2021-01-15,0.12602411211376108,1795953.3056112796
2021-01-16,0.008210357039831306,1810698.7234772134
2021-01-17,-0.050050873898071946,1720071.6700010553
2021-01-18,-0.026781792083025224,1674005.0681671852
2021-01-19,-0.06372946583070849,1567321.6193749916
2021-01-20,0.04173509669712239,1632733.9387150975
2021-01-21,-0.12851905538496433,1422896.5152164607
2021-01-22,0.06262174237147922,1512000.7742136214
2021-01-23,-0.036649138821513105,1456587.2479412311
2021-01-24,-0.021584725287611795,1425147.2123369812
2021-01-25,-0.04629815173411167,1359165.5304567574
2021-01-26,0.010208564781543528,1373040.659823266
2021-01-27,-0.12341061003958076,1203592.8743853283
2021-01-28,0.5217530838093025,1831571.1682467759
2021-01-29,0.1709426119671824,2144664.7277506636
2021-01-30,0.018865810403309036,2185125.5658830716
2021-01-31,-0.05976047298060938,2054541.4285438776
2021-02-01,-0.13833941183348453,1770317.3757315907
2021-02-02,-0.0378202729770003,1703363.489325495
2021-02-03,0.013547482433625913,1726439.776275212
2021-02-04,0.09056309336687951,1882791.5029263184
2021-02-05,0.056652964163026676,1989457.2224680542
2021-02-06,-0.040530299828175465,1908823.9247460947
2021-02-07,0.03290433985926122,1971632.515897429
2021-02-08,0.03205578121729924,2034834.7364679503
2021-02-09,0.014848677833080082,2065049.3419133232
2021-02-10,-0.026752520339860864,2009804.0673909704
2021-02-11,0.18267196941711417,2376938.9345238055
2021-02-12,-0.02815355378013551,2310019.6563985916
2021-02-13,0.034059884222421566,2388698.6584470454
2021-02-14,-0.1151303027781363,2113687.0586543093
2021-02-15,-0.08088463398264734,1942722.2545611968
2021-02-16,0.00335460406804855,1949239.3185394364
2021-02-17,0.05150108017375632,2049627.248961374
2021-02-18,0.06585023300957271,2184595.6808882495
2021-02-19,0.11312724240606964,2431732.9660393475
2021-02-20,-0.07420017686767977,2251297.9498642604
2021-02-21,0.00025249082827660807,2251866.381948319
2021-02-22,-0.02773629054027127,2189407.9617207306
2021-02-23,-0.12483196857059464,1916099.8558549988
2021-02-24,-0.0291516314553657,1860242.4190254344
2021-02-25,-0.05444678751180443,1758958.1953163117
2021-02-26,0.011867986324835655,1779833.487124283
2021-02-27,0.020557314936448856,1816422.0846535352
2021-02-28,-0.049563121626203466,1726394.5359473298
2021-03-01,0.0452080655917122,1804441.4933656103
2021-03-02,-0.007958157446799619,1790081.4638578687
2021-03-03,0.07548550580050684,1925206.6685812913
2021-03-04,-0.029256621676186256,1868881.6254301376
2021-03-05,-0.07498290672400376,1728747.4488323051
2021-03-06,0.00011321685136489457,1728943.172175267
2021-03-07,0.06030108847099647,1833200.327361933
2021-03-08,0.00969237875479334,1850968.3992681361
2021-03-09,0.042516197288184676,1929664.5369056156
2021-03-10,-0.016710019347319194,1897419.805160087
2021-03-11,0.009956016737235007,1916310.548497822
2021-03-12,0.04241147916330501,1997584.113395859
2021-03-13,0.04644344564476954,2090358.8025872146
2021-03-14,-0.034506310433803034,2018228.2328271074
2021-03-15,0.0638481035986409,2147088.2781223548
2021-03-16,-0.06735452491785876,2002472.16719272
2021-03-17,0.08340000456366248,2169478.3550752
2021-03-18,-0.06827689105066537,2021353.1177889542
2021-03-19,0.02148696216905055,2064785.8557611776
2021-03-20,0.010260226817693452,2085971.0269712526
2021-03-21,-0.02559416476664733,2032582.340808498
2021-03-22,-0.0304251027875867,1970740.8141651659
2021-03-23,0.2691399176422773,2501145.8345838534
2021-03-24,-0.046501806431253345,2384838.0351276994
2021-03-25,-0.03076436784007308,2311470.0005760333
2021-03-26,0.06744568258296813,2467368.6725349375
2021-03-27,0.18543360018472632,2924901.7284661
2021-03-28,0.028251218370501707,3007533.7659092536
2021-03-29,-0.028004098465777005,2923310.494189582
2021-03-30,0.07542949919237296,3143814.340750111
2021-03-31,0.04720119550564772,3292206.1360813156
2021-04-01,0.00942586180376348,3323238.0161495204
2021-04-02,-0.0377605681300236,3197750.6606284217
2021-04-03,-0.045715849935631825,3051562.771295565
2021-04-04,0.077599298613652,3288361.902023633
2021-04-05,0.05256758518107563,3461223.1464144643
2021-04-06,0.04619826599194088,3621125.6539899823
2021-04-07,-0.12351001306962972,3173880.377138908
2021-04-08,0.0023838089546297514,3181446.3016028553
2021-04-09,0.0094657779110221,3211561.1657296703
2021-04-10,0.05258624212544283,3380445.0987914004
2021-04-11,-0.02384757729385245,3299829.673010348
2021-04-12,0.012928466786682025,3342491.41133957
2021-04-13,0.025336853795412395,3427179.627541102
2021-04-14,0.057375509356142995,3623815.8043262693
2021-04-15,0.08847419306748439,3944429.9834392327
2021-04-16,0.1806395779701424,4656950.150980472
2021-04-17,-0.09521580808650953,4213534.879136274
2021-04-18,0.09762443617917094,4624878.846033223
2021-04-19,-0.06111517228384722,4342228.578565982
2021-04-20,0.010614618420371924,4388319.678021494
2021-04-21,-0.10004127100727966,3949306.5998459677
2021-04-22,0.006580142566569247,3975293.6003120467
2021-04-23,0.0022303287192946275,3984159.811796451
2021-04-24,-0.06623599392326185,3720265.026712997
2021-04-25,0.023012310862619012,3805876.921999046
2021-04-26,0.05805757950569168,4026836.923986883
2021-04-27,0.03713668619888466,4176380.3032070654
2021-04-28,-0.06845117916455801,3890502.146812908
