2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.271, DOT:0.231, KSM:0.179, LINK:0.167, KAVA:0.151
2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.282, CRV:0.201, AAVE:0.184, TRX:0.168, SNX:0.165
2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SOL:0.232, CRV:0.216, FLM:0.206, LRC:0.181, TRB:0.166
2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.362, FLM:0.188, ADA:0.152, SOL:0.150, AAVE:0.148
2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.322, ETH:0.200, XRP:0.186, FLM:0.151, ETC:0.142
2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.608, ETH:0.174, ALPHA:0.093, ETC:0.064, XRP:0.061
2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XMR:0.200, ALPHA:0.200, FIL:0.200, XRP:0.200, ZIL:0.200
2025-10-09 14:44:57 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RSR:1.000, THETA:0.000, SNX:0.000, XMR:0.000, EGLD:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RSR:0.338, SOL:0.250, LRC:0.141, AAVE:0.141, SNX:0.130
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.255, DOGE:0.225, AAVE:0.207, SNX:0.190, SOL:0.124
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.279, LRC:0.200, QTUM:0.191, EGLD:0.189, AAVE:0.141
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.318, SNX:0.249, EGLD:0.157, SKL:0.143, QTUM:0.133
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.362, IOTA:0.207, SOL:0.165, XTZ:0.133, EGLD:0.132
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.279, SNX:0.227, IOTA:0.167, RUNE:0.164, AAVE:0.163
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.488, THETA:0.162, RUNE:0.148, RSR:0.103, ALGO:0.098
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.503, THETA:0.246, ALGO:0.102, BAT:0.079, COMP:0.071
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.959, THETA:0.041, BAT:0.000, XLM:0.000, FIL:0.000
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SKL:0.259, ADA:0.224, XLM:0.200, SNX:0.160, RLC:0.157
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> AVAX:0.247, ALGO:0.201, SKL:0.194, LRC:0.183, TRB:0.176
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> SKL:0.253, IOTA:0.215, AVAX:0.187, ALGO:0.180, KAVA:0.165
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.238, AVAX:0.229, 1INCH:0.186, EGLD:0.176, BEL:0.171
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RSR:0.237, LRC:0.232, XLM:0.219, SUSHI:0.156, BAND:0.156
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.296, XLM:0.206, RSR:0.189, SNX:0.166, 1INCH:0.143
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> LRC:0.347, RSR:0.226, ALPHA:0.152, XLM:0.144, ZEN:0.131
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RSR:0.335, 1INCH:0.208, XMR:0.157, DOGE:0.155, BTC:0.145
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RSR:0.246, XLM:0.219, ZRX:0.201, ADA:0.200, VET:0.134
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.302, ADA:0.225, CRV:0.159, ZRX:0.158, VET:0.155
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.277, TRB:0.219, DOGE:0.197, ZIL:0.157, ZRX:0.150
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> BAND:0.350, GRT:0.235, DOGE:0.146, ICX:0.144, RSR:0.124
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.268, BAND:0.252, ZIL:0.168, GRT:0.165, IOTA:0.146
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.384, BAND:0.162, GRT:0.156, ZIL:0.153, KAVA:0.146
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.485, ADA:0.164, KAVA:0.127, AXS:0.112, XTZ:0.112
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.304, XRP:0.183, LINK:0.179, RLC:0.177, NEO:0.157
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> RLC:0.230, LRC:0.206, NEO:0.202, LINK:0.182, 1INCH:0.181
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> 1INCH:0.251, RLC:0.236, KNC:0.235, EGLD:0.147, ATOM:0.132
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> KNC:0.325, XLM:0.185, COMP:0.179, RLC:0.171, EGLD:0.139
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> KNC:0.517, ADA:0.190, COMP:0.132, QTUM:0.084, BTC:0.077
2025-10-09 14:44:58 | INFO     | Backtest.strategies.base | TopKStrategy | target weights -> XLM:0.372, SOL:0.244, ADA:0.158, KNC:0.144, QTUM:0.082
