2025-10-09 15:48:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FIL:0.175, ZEN:0.129, XRP:0.105, ENJ:0.091, ZIL:-0.100, TRB:-0.109, ZRX:-0.117, BAT:-0.174
2025-10-09 15:48:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> KNC:0.166, CRV:0.131, TRX:0.108, IOST:0.095, DOT:-0.090, AXS:-0.113, ZEN:-0.120, ENJ:-0.177
2025-10-09 15:48:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> TRB:0.179, IOTA:0.136, THETA:0.101, KNC:0.083, BAND:-0.062, SXP:-0.094, XMR:-0.165, AXS:-0.180
2025-10-09 15:48:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> QTUM:0.174, STORJ:0.116, ATOM:0.107, ONT:0.103, XMR:-0.064, ALPHA:-0.080, LINK:-0.110, SKL:-0.246
2025-10-09 15:48:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SKL:0.144, CRV:0.123, TRB:0.122, GRT:0.111, SOL:-0.104, AXS:-0.122, ONT:-0.128, STORJ:-0.146
2025-10-09 15:48:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ONT:0.186, QTUM:0.133, NEO:0.091, BAND:0.090, FIL:-0.075, ENJ:-0.087, ICX:-0.140, TRX:-0.199
2025-10-09 15:48:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FIL:0.243, TRX:0.123, ZEC:0.074, STORJ:0.060, DOGE:-0.097, CRV:-0.119, SXP:-0.139, RLC:-0.144
2025-10-09 15:48:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> QTUM:0.220, FLM:0.142, ZEN:0.076, NEO:0.063, 1INCH:-0.085, KAVA:-0.090, AXS:-0.141, FIL:-0.184
2025-10-09 15:48:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RUNE:0.149, ZRX:0.120, FIL:0.116, BNB:0.115, XRP:-0.097, QTUM:-0.101, 1INCH:-0.117, ENJ:-0.184
2025-10-09 15:48:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ZEN:0.143, XRP:0.142, NEAR:0.127, LTC:0.088, GRT:-0.088, XMR:-0.119, SXP:-0.133, ZRX:-0.160
2025-10-09 15:48:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.184, NEO:0.115, FLM:0.104, QTUM:0.096, BAND:-0.110, RUNE:-0.115, ENJ:-0.124, IOST:-0.151
2025-10-09 15:48:54 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FLM:0.147, NEO:0.141, ONT:0.109, QTUM:0.103, EGLD:-0.046, STORJ:-0.070, SUSHI:-0.140, DOGE:-0.243
2025-10-09 15:48:55 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> COMP:0.188, ALPHA:0.152, UNI:0.081, 1INCH:0.079, KAVA:-0.091, DOT:-0.099, ZRX:-0.116, DOGE:-0.193
2025-10-09 15:48:55 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DASH:0.184, SXP:0.183, SOL:0.067, XMR:0.067, VET:-0.119, SNX:-0.119, COMP:-0.127, RUNE:-0.136
2025-10-09 15:48:55 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AXS:0.159, SXP:0.141, SKL:0.109, ETC:0.092, SOL:-0.084, ZEN:-0.100, ZIL:-0.129, ZRX:-0.186
2025-10-09 15:48:55 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> NEAR:0.149, ALPHA:0.140, FLM:0.124, TRB:0.086, CRV:-0.077, SOL:-0.114, AXS:-0.135, SKL:-0.173
2025-10-09 15:48:55 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ETC:0.500, COMP:0.000, RUNE:0.000, ETH:0.000, IOTA:-0.123, ALPHA:-0.124, BEL:-0.126, FLM:-0.127
2025-10-09 15:48:55 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> VET:0.139, TRX:0.131, QTUM:0.124, DASH:0.106, DOGE:-0.100, ZIL:-0.105, ETC:-0.143, RLC:-0.153
2025-10-09 15:48:55 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RLC:0.226, TRB:0.148, LTC:0.070, BAT:0.057, ETC:-0.072, QTUM:-0.088, ADA:-0.155, ONT:-0.185
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> EGLD:0.125, ETH:0.125, KSM:0.125, ALPHA:0.125, QTUM:-0.099, ETC:-0.103, ZEC:-0.121, FIL:-0.177
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SOL:0.421, ADA:0.079, XRP:0.000, ETH:0.000, GRT:-0.111, LRC:-0.121, KSM:-0.130, AVAX:-0.139
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SKL:0.173, SOL:0.147, AVAX:0.092, KAVA:0.088, CRV:-0.102, SUSHI:-0.108, YFI:-0.143, SNX:-0.146
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> IOST:0.187, SNX:0.120, ZEN:0.101, SXP:0.093, QTUM:-0.000, ETC:-0.000, ZEC:-0.105, RLC:-0.395
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> QTUM:0.152, RUNE:0.127, NEO:0.114, XRP:0.107, KAVA:-0.125, IOTA:-0.125, BTC:-0.125, AVAX:-0.125
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LRC:0.125, ETC:0.125, THETA:0.125, ZEN:0.125, SKL:-0.103, BAT:-0.131, TRB:-0.132, ENJ:-0.134
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AXS:0.263, SKL:0.091, GRT:0.073, TRB:0.072, UNI:-0.115, ZEN:-0.121, SXP:-0.124, ENJ:-0.140
2025-10-09 15:48:56 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ONT:0.166, NEO:0.142, QTUM:0.096, ZEN:0.096, KNC:-0.072, DOGE:-0.086, TRB:-0.161, KAVA:-0.181
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> STORJ:0.154, NEAR:0.139, CRV:0.109, SKL:0.098, RSR:-0.000, DOGE:-0.000, XMR:-0.000, LRC:-0.500
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> LRC:0.265, ZRX:0.235, XMR:0.000, SOL:0.000, 1INCH:-0.117, DOGE:-0.121, RUNE:-0.128, KNC:-0.134
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> TRB:0.229, THETA:0.145, ICX:0.063, ENJ:0.063, RLC:-0.096, COMP:-0.099, BEL:-0.132, NEAR:-0.174
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.189, RLC:0.114, TRB:0.107, LINK:0.090, AXS:-0.105, KSM:-0.111, ENJ:-0.115, KAVA:-0.169
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> THETA:0.171, SKL:0.143, TRB:0.096, BAND:0.090, XMR:-0.096, XTZ:-0.113, ATOM:-0.119, ZIL:-0.172
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> 1INCH:0.228, RUNE:0.127, TRB:0.116, NEAR:0.029, SNX:-0.102, RLC:-0.112, ATOM:-0.136, KSM:-0.150
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> TRX:0.253, GRT:0.099, ENJ:0.091, ZEC:0.057, ATOM:-0.087, XMR:-0.091, AXS:-0.134, SKL:-0.189
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ATOM:0.152, RUNE:0.118, SOL:0.116, ZEN:0.114, DASH:-0.125, KNC:-0.125, ETC:-0.125, TRB:-0.125
2025-10-09 15:48:57 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ETC:0.158, KAVA:0.147, QTUM:0.101, FIL:0.094, RUNE:-0.116, SOL:-0.121, COMP:-0.128, STORJ:-0.135
2025-10-09 15:48:58 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> COMP:0.145, NEAR:0.128, GRT:0.121, ATOM:0.106, BEL:-0.082, ZEN:-0.089, XMR:-0.097, KAVA:-0.233
