2025-10-10 17:03:38 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\ETC.parquet (35065 rows)
2025-10-10 17:03:38 | INFO     | __main__ | Processing symbol ETH
2025-10-10 17:03:38 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\ETH.parquet (35065 rows)
2025-10-10 17:03:38 | INFO     | __main__ | Processing symbol FIL
2025-10-10 17:03:38 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\FIL.parquet (35065 rows)
2025-10-10 17:03:38 | INFO     | __main__ | Processing symbol FLM
2025-10-10 17:03:38 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\FLM.parquet (35065 rows)
2025-10-10 17:03:38 | INFO     | __main__ | Processing symbol GRT
2025-10-10 17:03:38 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\GRT.parquet (35065 rows)
2025-10-10 17:03:38 | INFO     | __main__ | Processing symbol ICX
2025-10-10 17:03:38 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\ICX.parquet (35065 rows)
2025-10-10 17:03:38 | INFO     | __main__ | Processing symbol IOST
2025-10-10 17:03:38 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\IOST.parquet (35065 rows)
2025-10-10 17:03:38 | INFO     | __main__ | Processing symbol IOTA
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\IOTA.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol KAVA
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\KAVA.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol KNC
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\KNC.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol KSM
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\KSM.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol LINK
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\LINK.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol LRC
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\LRC.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol LTC
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\LTC.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol NEAR
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\NEAR.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol NEO
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\NEO.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol ONT
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\ONT.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol QTUM
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\QTUM.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol RLC
2025-10-10 17:03:39 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\RLC.parquet (35065 rows)
2025-10-10 17:03:39 | INFO     | __main__ | Processing symbol RSR
2025-10-10 17:03:40 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\RSR.parquet (35065 rows)
2025-10-10 17:03:40 | INFO     | __main__ | Processing symbol RUNE
2025-10-10 17:03:40 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\60min\composite_mom60_v1\RUNE.parquet (35065 rows)
