2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol DOT
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\DOT.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol CRV
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\CRV.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol TRB
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\TRB.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol SUSHI
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\SUSHI.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol RUNE
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\RUNE.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol SOL
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\SOL.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol UNI
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\UNI.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol AVAX
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\AVAX.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol NEAR
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\NEAR.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol FIL
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\FIL.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol AAVE
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\AAVE.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol RSR
2025-11-03 15:59:03 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\RSR.parquet (20125 rows)
2025-11-03 15:59:03 | INFO     | __main__ | Processing symbol AXS
2025-11-03 15:59:04 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\AXS.parquet (20125 rows)
2025-11-03 15:59:04 | INFO     | __main__ | Processing symbol ZEN
2025-11-03 15:59:04 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\ZEN.parquet (20125 rows)
2025-11-03 15:59:04 | INFO     | __main__ | Processing symbol SKL
2025-11-03 15:59:04 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\SKL.parquet (20125 rows)
2025-11-03 15:59:04 | INFO     | __main__ | Processing symbol GRT
2025-11-03 15:59:04 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\GRT.parquet (20125 rows)
2025-11-03 15:59:04 | INFO     | __main__ | Processing symbol CHZ
2025-11-03 15:59:04 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\CHZ.parquet (20125 rows)
2025-11-03 15:59:04 | INFO     | __main__ | Processing symbol SAND
2025-11-03 15:59:04 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\2H\voltrend_adv_v1\SAND.parquet (20125 rows)
2025-11-03 15:59:04 | INFO     | __main__ | Metadata written to C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\metadata\2H\voltrend_adv_v1.json
2025-11-03 15:59:04 | INFO     | __main__ | Preparation completed | factor_set=voltrend_adv_v1 | symbols=40 | total_rows=805000
2025-11-03 15:59:04 | INFO     | __main__ | Preparation summary: {"factor_set": "voltrend_adv_v1", "timeframe": "2H", "symbols": ["BTC", "ETH", "BCH", "XRP", "LTC", "TRX", "ETC", "LINK", "XLM", "ADA", "XTZ", "ATOM", "BNB", "IOTA", "VET", "NEO", "QTUM", "THETA", "ALGO", "COMP", "DOGE", "SXP", "DOT", "CRV", "TRB", "SUSHI", "RUNE", "SOL", "UNI", "AVAX", "NEAR", "FIL", "AAVE", "RSR", "AXS", "ZEN", "SKL", "GRT", "CHZ", "SAND"], "rows_per_symbol": {"BTC": 20125, "ETH": 20125, "BCH": 20125, "XRP": 20125, "LTC": 20125, "TRX": 20125, "ETC": 20125, "LINK": 20125, "XLM": 20125, "ADA": 20125, "XTZ": 20125, "ATOM": 20125, "BNB": 20125, "IOTA": 20125, "VET": 20125, "NEO": 20125, "QTUM": 20125, "THETA": 20125, "ALGO": 20125, "COMP": 20125, "DOGE": 20125, "SXP": 20125, "DOT": 20125, "CRV": 20125, "TRB": 20125, "SUSHI": 20125, "RUNE": 20125, "SOL": 20125, "UNI": 20125, "AVAX": 20125, "NEAR": 20125, "FIL": 20125, "AAVE": 20125, "RSR": 20125, "AXS": 20125, "ZEN": 20125, "SKL": 20125, "GRT": 20125, "CHZ": 20125, "SAND": 20125}, "data_quality": {"voltrend_adv": 0.0}, "metadata_path": "C:\\Users\\User\\Desktop\\1. Factor Automation V6.0\\DataHub\\metadata\\2H\\voltrend_adv_v1.json", "factor_directory": "C:\\Users\\User\\Desktop\\1. Factor Automation V6.0\\DataHub\\factors\\2H\\voltrend_adv_v1", "columns": ["timestamp", "voltrend_adv", "tradable_flag"], "total_rows": 805000}
