2025-10-07 21:58:40 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\ETC.parquet (8767 rows)
2025-10-07 21:58:40 | INFO     | __main__ | Processing symbol ETH
2025-10-07 21:58:41 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\ETH.parquet (8767 rows)
2025-10-07 21:58:41 | INFO     | __main__ | Processing symbol FIL
2025-10-07 21:58:41 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\FIL.parquet (8767 rows)
2025-10-07 21:58:41 | INFO     | __main__ | Processing symbol FLM
2025-10-07 21:58:41 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\FLM.parquet (8767 rows)
2025-10-07 21:58:41 | INFO     | __main__ | Processing symbol GRT
2025-10-07 21:58:41 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\GRT.parquet (8767 rows)
2025-10-07 21:58:41 | INFO     | __main__ | Processing symbol ICX
2025-10-07 21:58:42 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\ICX.parquet (8767 rows)
2025-10-07 21:58:42 | INFO     | __main__ | Processing symbol IOST
2025-10-07 21:58:42 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\IOST.parquet (8767 rows)
2025-10-07 21:58:42 | INFO     | __main__ | Processing symbol IOTA
2025-10-07 21:58:43 | INFO     | __main__ | Wrote factor parquet C:\Users\User\Desktop\1. Factor Automation V6.0\DataHub\factors\4H\mfi14_v1\IOTA.parquet (8767 rows)
