2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> CRV:0.087, ENJ:0.084, NEAR:0.049, GRT:0.046, BEL:0.046, DOT:0.045, RLC:0.043, XLM:-0.046, BTC:-0.098, DASH:-0.103, ZEC:-0.123, XMR:-0.130
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> CRV:0.173, BEL:0.114, ENJ:0.108, ALPHA:0.075, SKL:-0.046, XLM:-0.047, ZEC:-0.048, THETA:-0.049, BCH:-0.054, DASH:-0.057, XMR:-0.064, BTC:-0.064
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BEL:0.093, ALPHA:0.090, ENJ:0.090, AVAX:0.053, CRV:0.052, BAT:0.050, BAND:-0.058, BTC:-0.059, IOST:-0.081, XMR:-0.088, ZEC:-0.090, DASH:-0.096
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.133, CRV:0.079, QTUM:0.070, ENJ:0.068, BEL:0.061, IOST:-0.051, XLM:-0.054, XMR:-0.063, BCH:-0.070, BTC:-0.081, ZEC:-0.085, DASH:-0.085
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.150, UNI:0.078, ENJ:0.068, RUNE:0.063, AAVE:0.063, BNB:-0.057, FIL:-0.058, YFI:-0.058, ZEC:-0.060, BTC:-0.066, DASH:-0.082, XMR:-0.099
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.122, ENJ:0.106, EGLD:0.087, AXS:0.072, UNI:0.059, ZEC:-0.056, XMR:-0.058, NEO:-0.058, ATOM:-0.061, BCH:-0.066, YFI:-0.071, DASH:-0.084
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.201, UNI:0.078, AXS:0.078, AAVE:0.058, EGLD:0.054, DOGE:-0.053, ONT:-0.053, ATOM:-0.054, ZEC:-0.056, BCH:-0.069, XMR:-0.070, DASH:-0.075
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> UNI:0.117, ALPHA:0.105, EGLD:0.105, RUNE:0.067, AAVE:0.066, IOTA:-0.051, XLM:-0.055, DOGE:-0.060, ZEC:-0.065, DASH:-0.066, XMR:-0.068, BCH:-0.075
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.159, ALPHA:0.080, RUNE:0.079, 1INCH:0.070, BEL:-0.064, AVAX:-0.064, ENJ:-0.064, NEO:-0.064, NEAR:-0.064, FIL:-0.064, RLC:-0.064, BCH:-0.064
2025-10-09 20:19:59 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.115, ALPHA:0.091, EGLD:0.083, 1INCH:0.069, RUNE:0.065, UNI:0.064, ENJ:-0.057, VET:-0.058, BCH:-0.069, AVAX:-0.072, IOTA:-0.075, BEL:-0.081
