2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> FIL:0.225, ONT:0.225, TRB:0.225, 1INCH:0.000, AAVE:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, ATOM:0.000, AVAX:0.000, AXS:0.000, ENJ:-0.225
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ADA:-0.075, ALPHA:-0.075, BEL:-0.075, ICX:-0.075, IOST:-0.075, IOTA:-0.075, LINK:-0.075, RLC:-0.075, SUSHI:-0.075, THETA:-0.075, VET:-0.075, ZEN:-0.075
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALGO:0.075, ALPHA:0.075, ATOM:0.075, AVAX:0.075, AXS:0.075, BAND:0.075, BAT:0.075, BCH:0.075, BNB:0.075
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, AAVE:0.000, ADA:0.000, ALGO:0.000, ALPHA:0.000, ATOM:0.000, AVAX:0.000, AXS:0.000, BAND:0.000, ETC:-0.300, XRP:-0.300, XTZ:-0.300
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, ADA:0.000, ALPHA:0.000, ATOM:0.000, AVAX:0.000, AXS:0.000, AAVE:-0.150, ALGO:-0.150, COMP:-0.150, GRT:-0.150, TRX:-0.150, ZRX:-0.150
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:-0.075, BCH:-0.075, BNB:-0.075, COMP:-0.075, EGLD:-0.075, ETC:-0.075, ETH:-0.075, KNC:-0.075, LINK:-0.075, LRC:-0.075, LTC:-0.075, RLC:-0.075
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> BCH:0.075, DASH:0.075, FIL:0.075, IOST:0.075, IOTA:0.075, XLM:0.075, XRP:0.075, AXS:-0.075, ENJ:-0.075, FLM:-0.075, SKL:-0.075, UNI:-0.075
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.000, AAVE:0.000, ADA:0.000, ALGO:0.000, ATOM:0.000, ALPHA:-0.129, AXS:-0.129, IOST:-0.129, LRC:-0.129, SKL:-0.129, SXP:-0.129, ZRX:-0.129
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ENJ:0.113, XMR:0.113, 1INCH:0.000, AAVE:0.000, ADA:0.000, ALGO:0.000, BAT:-0.113, EGLD:-0.113, RUNE:-0.113, TRB:-0.113, UNI:-0.113, ZRX:-0.113
2025-10-10 17:15:04 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AXS:0.075, ICX:0.075, ADA:-0.075, BCH:-0.075, BTC:-0.075, DASH:-0.075, DOGE:-0.075, ETH:-0.075, GRT:-0.075, IOTA:-0.075, LRC:-0.075, LTC:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> BEL:0.100, AAVE:0.000, ADA:0.000, ATOM:0.000, 1INCH:-0.100, ALGO:-0.100, ALPHA:-0.100, COMP:-0.100, EGLD:-0.100, RUNE:-0.100, SOL:-0.100, SUSHI:-0.100
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> ENJ:0.075, IOST:0.075, 1INCH:-0.075, ADA:-0.075, BAT:-0.075, BNB:-0.075, CRV:-0.075, DOT:-0.075, FLM:-0.075, IOTA:-0.075, KNC:-0.075, LINK:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> 1INCH:0.075, AAVE:0.075, ADA:0.075, ALPHA:0.075, BAND:0.075, BAT:0.075, BCH:0.075, DASH:0.075, EGLD:0.075, ENJ:0.075, ETH:0.075, FLM:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> DOGE:0.075, GRT:0.075, ADA:-0.075, ATOM:-0.075, BAND:-0.075, BAT:-0.075, DOT:-0.075, ETH:-0.075, KNC:-0.075, LINK:-0.075, LTC:-0.075, ONT:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> BCH:-0.075, BTC:-0.075, DASH:-0.075, ETC:-0.075, IOTA:-0.075, LINK:-0.075, LTC:-0.075, NEO:-0.075, STORJ:-0.075, TRX:-0.075, XMR:-0.075, YFI:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> AAVE:-0.075, ALPHA:-0.075, ATOM:-0.075, AVAX:-0.075, BCH:-0.075, BNB:-0.075, BTC:-0.075, COMP:-0.075, CRV:-0.075, DOGE:-0.075, DOT:-0.075, ETC:-0.075
2025-10-10 17:15:05 | INFO     | Backtest.strategies.base | ThresholdStrategy | target weights -> YFI:0.075, ADA:-0.075, ALPHA:-0.075, ATOM:-0.075, AVAX:-0.075, BNB:-0.075, CRV:-0.075, KAVA:-0.075, KNC:-0.075, SOL:-0.075, TRB:-0.075, XRP:-0.075
