2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RLC:0.146, VET:0.122, ALPHA:0.106, ZEN:0.089, ICX:0.068, STORJ:-0.045, XMR:-0.049, SKL:-0.050, LRC:-0.050, ENJ:-0.054, ONT:-0.056, ATOM:-0.065
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BEL:0.073, KNC:0.073, CRV:0.073, AXS:0.073, EGLD:0.073, KSM:0.073, AVAX:0.073, LTC:0.073, ALPHA:0.073, XMR:-0.076, SOL:-0.083, ADA:-0.086
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> RUNE:0.091, BAT:0.083, XTZ:0.080, LINK:0.076, NEAR:-0.071, SXP:-0.071, RLC:-0.071, DOT:-0.071, LRC:-0.071, CRV:-0.071, ENJ:-0.071, KNC:-0.071
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> QTUM:0.103, BAND:0.061, FLM:0.058, TRX:0.053, ALGO:0.052, AAVE:0.052, IOTA:-0.061, ZEN:-0.068, VET:-0.075, BAT:-0.076, XRP:-0.088, BEL:-0.153
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> UNI:0.078, 1INCH:0.072, EGLD:0.066, ETH:0.065, SNX:0.058, IOST:0.057, SUSHI:0.056, COMP:0.052, XTZ:-0.062, GRT:-0.063, ENJ:-0.111, QTUM:-0.158
2025-10-10 17:00:52 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> FLM:0.110, ZEN:0.106, EGLD:0.104, AXS:0.080, ICX:0.070, THETA:0.064, ALPHA:-0.050, BEL:-0.051, RUNE:-0.054, ETH:-0.069, COMP:-0.070, SNX:-0.070
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALPHA:0.184, SKL:0.105, STORJ:0.067, ZRX:0.049, LINK:-0.048, AVAX:-0.050, EGLD:-0.050, ENJ:-0.055, RLC:-0.056, CRV:-0.061, NEAR:-0.073, FLM:-0.100
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> SXP:0.151, ZRX:0.122, EGLD:0.115, RUNE:0.098, TRB:0.052, BEL:-0.050, SKL:-0.051, AXS:-0.051, ENJ:-0.051, THETA:-0.053, ZEC:-0.053, BCH:-0.053
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DOGE:0.121, XLM:0.073, DASH:0.045, XRP:0.044, ZEC:0.043, ATOM:0.043, GRT:0.040, BAT:-0.063, AAVE:-0.073, SXP:-0.085, AXS:-0.120, UNI:-0.150
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> ALGO:0.138, XRP:0.096, ALPHA:0.064, RUNE:0.063, FIL:0.062, STORJ:0.061, ZRX:-0.055, AAVE:-0.067, FLM:-0.069, LRC:-0.071, ZEN:-0.075, KSM:-0.078
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> XRP:0.086, CRV:0.069, 1INCH:0.059, LRC:0.059, KNC:0.056, BAND:0.054, FLM:0.050, EGLD:-0.068, ALPHA:-0.079, ICX:-0.083, IOST:-0.085, DOGE:-0.151
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> GRT:0.231, FLM:0.103, AVAX:0.102, ZRX:0.049, THETA:-0.047, EGLD:-0.048, KAVA:-0.049, LINK:-0.049, ICX:-0.050, BNB:-0.050, RUNE:-0.059, UNI:-0.063
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> BAND:0.072, BNB:0.068, ADA:0.061, VET:0.060, AXS:0.052, BEL:0.051, SUSHI:0.050, 1INCH:-0.048, SXP:-0.090, DOGE:-0.090, GRT:-0.096, XRP:-0.162
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> DASH:0.091, LTC:0.080, ETH:0.075, SKL:0.068, SOL:0.059, BTC:0.058, 1INCH:-0.062, SUSHI:-0.068, ZEN:-0.070, BAND:-0.077, UNI:-0.085, RUNE:-0.107
2025-10-10 17:00:53 | INFO     | Backtest.strategies.base | LongShortStrategy | target weights -> AAVE:0.129, DOT:0.096, KSM:0.060, TRB:0.045, LINK:0.041, ETH:0.041, ZEC:-0.046, XLM:-0.059, RUNE:-0.085, DOGE:-0.092, RSR:-0.096, BEL:-0.108
